time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-13 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-02 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,3,3,0,0
2025-07-23 00:00:00+00:00,2,2,0,0
2025-07-24 00:00:00+00:00,12,12,0,0
2025-07-25 00:00:00+00:00,10,10,0,0
2025-08-11 00:00:00+00:00,2,2,0,0
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-23 00:00:00+00:00,1,1,0,0
