time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-08 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,3,3,0,0
2025-07-23 00:00:00+00:00,2,2,0,0
2025-07-24 00:00:00+00:00,13,11,0,0
2025-07-25 00:00:00+00:00,12,11,0,0
2025-08-17 00:00:00+00:00,2,2,0,0
2025-08-18 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,2,2,0,0
2025-09-07 00:00:00+00:00,2,2,0,0
2025-09-09 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,1,1,0,0
2025-09-29 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-06 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,2,2,0,0
2025-10-28 00:00:00+00:00,6,2,0,0
2025-11-01 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,1,1,0,0
2025-11-16 00:00:00+00:00,1,1,0,0
2025-11-30 00:00:00+00:00,1,1,0,0
2025-12-04 00:00:00+00:00,1,1,0,0
2025-12-07 00:00:00+00:00,1,1,0,0
2025-12-08 00:00:00+00:00,1,1,0,0
2025-12-10 00:00:00+00:00,1,1,0,0
2025-12-13 00:00:00+00:00,1,1,0,0
2025-12-16 00:00:00+00:00,1,1,0,0
2025-12-18 00:00:00+00:00,1,1,0,0
2025-12-20 00:00:00+00:00,1,1,0,0
2025-12-21 00:00:00+00:00,2,2,0,0
2025-12-24 00:00:00+00:00,0,0,3,1
